Lincoln Hawks,The Pretty Reckless,The Feral Horses,The Raves
Sobrino,Hermano,Hijo,Primo
Rhodes,Humphrey,Waldorf,Archibald
Charlie Rhodes,Ivy Manning,Serena Smith,Lola Rhodes
Con tres,Con uno,Con dos,Con nadie
Dan Humphrey,Nate Archibald,Chuck Bass,Blair Waldorf
Blair Waldorf,Olivia Burke,Serena van der Woodsen,Vanessa Abrams
"The Last Days of Disco Stick" - Temporada 3,"New York. I Love You XOXO" - Temporada 6,"The End of the Affair?" - Temporada 4, "The Wrath of Con" - Temporada 2
Chanel,Prada,Valentino,Marc Jacobs
Temporada 2,Temporada 3,Temporada 4,Temporada 5
Amor,Ambición,Secretos familiares,Competencia académica
Guitarra,Piano,Batería,Violín
Media hermana de Blair,Prima de Chuck,Antigua amiga de Serena. Causante de problemas,Aliada de Jenny
Madre,Tía,Abuela,Hermana
Lonely Boy,Brooklyn Rebel,Uptown Savior,Upper East Poet
"The Goodbye Gossip Girl","New York. I Love You XOXO","The End of the Affair?", "Last Tango. Then Paris"
Por conspiración financiera,Por fraude fiscal,Por manipulación de pruebas,Por asociación con Gossip Girl
Amigos cercanos,Enemigos acérrimos,Medio hermanos,Compañeros de clase distantes
Abogado,Empresario,Editor de moda,Político
Para poder divorciarse de Lily,Para que Chuck se quedase con la empresa,Para evitar que le pillaran por comprar petróleo ilegalmente,Porque quería desaparecer y que nadie supiese nada de él
